,Date,Price,Months,Seasons
63,1997-04-08,2.01,Apr,Spring
64,1997-04-09,1.96,Apr,Spring
65,1997-04-10,1.97,Apr,Spring
66,1997-04-11,1.98,Apr,Spring
67,1997-04-14,2.0,Apr,Spring
68,1997-04-15,2.0,Apr,Spring
69,1997-04-16,2.02,Apr,Spring
70,1997-04-17,2.08,Apr,Spring
71,1997-04-18,2.1,Apr,Spring
72,1997-04-21,2.09,Apr,Spring
73,1997-04-22,2.1,Apr,Spring
74,1997-04-23,2.22,Apr,Spring
75,1997-04-24,2.11,Apr,Spring
76,1997-04-25,2.16,Apr,Spring
77,1997-04-28,2.1,Apr,Spring
78,1997-04-29,2.09,Apr,Spring
79,1997-04-30,2.16,Apr,Spring
80,1997-05-01,2.19,May,Spring
81,1997-05-02,2.21,May,Spring
82,1997-05-05,2.23,May,Spring
83,1997-05-06,2.25,May,Spring
84,1997-05-07,2.34,May,Spring
85,1997-05-08,2.33,May,Spring
86,1997-05-09,2.3,May,Spring
87,1997-05-12,2.27,May,Spring
88,1997-05-13,2.18,May,Spring
89,1997-05-14,2.22,May,Spring
90,1997-05-15,2.25,May,Spring
91,1997-05-16,2.19,May,Spring
92,1997-05-19,2.25,May,Spring
93,1997-05-20,2.22,May,Spring
94,1997-05-21,2.21,May,Spring
95,1997-05-22,2.22,May,Spring
96,1997-05-23,2.2,May,Spring
97,1997-05-27,2.29,May,Spring
98,1997-05-28,2.34,May,Spring
99,1997-05-29,2.29,May,Spring
100,1997-05-30,2.23,May,Spring
101,1997-06-02,2.2,June,Summer
102,1997-06-03,2.11,June,Summer
103,1997-06-04,2.19,June,Summer
104,1997-06-05,2.18,June,Summer
105,1997-06-06,2.19,June,Summer
106,1997-06-09,2.19,June,Summer
107,1997-06-10,2.16,June,Summer
108,1997-06-11,2.16,June,Summer
109,1997-06-12,2.14,June,Summer
110,1997-06-13,2.15,June,Summer
111,1997-06-16,2.2,June,Summer
112,1997-06-17,2.2,June,Summer
113,1997-06-18,2.22,June,Summer
114,1997-06-19,2.23,June,Summer
115,1997-06-20,2.25,June,Summer
116,1997-06-23,2.29,June,Summer
117,1997-06-24,2.32,June,Summer
118,1997-06-25,2.32,June,Summer
119,1997-06-26,2.23,June,Summer
120,1997-06-27,2.17,June,Summer
121,1997-06-30,2.17,June,Summer
122,1997-07-01,2.16,July,Summer
123,1997-07-02,2.14,July,Summer
124,1997-07-03,2.11,July,Summer
125,1997-07-07,2.13,July,Summer
126,1997-07-08,2.13,July,Summer
127,1997-07-09,2.16,July,Summer
128,1997-07-10,2.15,July,Summer
129,1997-07-11,2.16,July,Summer
130,1997-07-14,2.18,July,Summer
131,1997-07-15,2.21,July,Summer
132,1997-07-16,2.24,July,Summer
133,1997-07-17,2.29,July,Summer
134,1997-07-18,2.26,July,Summer
135,1997-07-21,2.17,July,Summer
136,1997-07-22,2.18,July,Summer
137,1997-07-23,2.2,July,Summer
138,1997-07-24,2.24,July,Summer
139,1997-07-25,2.22,July,Summer
140,1997-07-28,2.19,July,Summer
141,1997-07-29,2.23,July,Summer
142,1997-07-30,2.19,July,Summer
143,1997-07-31,2.23,July,Summer
144,1997-08-01,2.24,Aug,Summer
145,1997-08-04,2.26,Aug,Summer
146,1997-08-05,2.33,Aug,Summer
147,1997-08-06,2.38,Aug,Summer
148,1997-08-07,2.5,Aug,Summer
149,1997-08-08,2.38,Aug,Summer
150,1997-08-11,2.53,Aug,Summer
151,1997-08-12,2.56,Aug,Summer
152,1997-08-13,2.45,Aug,Summer
153,1997-08-14,2.57,Aug,Summer
154,1997-08-15,2.53,Aug,Summer
155,1997-08-18,2.56,Aug,Summer
156,1997-08-19,2.61,Aug,Summer
157,1997-08-20,2.62,Aug,Summer
158,1997-08-21,2.45,Aug,Summer
159,1997-08-22,2.47,Aug,Summer
160,1997-08-25,2.53,Aug,Summer
161,1997-08-26,2.58,Aug,Summer
162,1997-08-27,2.51,Aug,Summer
163,1997-08-28,2.57,Aug,Summer
164,1997-08-29,2.69,Aug,Summer
165,1997-09-02,2.82,Sep,Autumn
166,1997-09-03,2.86,Sep,Autumn
167,1997-09-04,2.73,Sep,Autumn
168,1997-09-05,2.67,Sep,Autumn
169,1997-09-08,2.67,Sep,Autumn
170,1997-09-09,2.74,Sep,Autumn
171,1997-09-10,2.74,Sep,Autumn
172,1997-09-11,2.78,Sep,Autumn
173,1997-09-12,2.86,Sep,Autumn
174,1997-09-15,2.88,Sep,Autumn
175,1997-09-16,2.83,Sep,Autumn
176,1997-09-17,2.75,Sep,Autumn
177,1997-09-18,2.84,Sep,Autumn
178,1997-09-19,2.94,Sep,Autumn
179,1997-09-22,2.98,Sep,Autumn
180,1997-09-23,3.09,Sep,Autumn
181,1997-09-24,3.03,Sep,Autumn
182,1997-09-25,3.05,Sep,Autumn
183,1997-09-26,3.24,Sep,Autumn
184,1997-09-29,3.09,Sep,Autumn
185,1997-09-30,2.96,Sep,Autumn
186,1997-10-01,3.08,Oct,Autumn
187,1997-10-02,2.97,Oct,Autumn
188,1997-10-03,2.91,Oct,Autumn
189,1997-10-06,2.96,Oct,Autumn
190,1997-10-07,2.81,Oct,Autumn
191,1997-10-08,2.8,Oct,Autumn
192,1997-10-09,2.8,Oct,Autumn
193,1997-10-10,2.78,Oct,Autumn
194,1997-10-13,2.87,Oct,Autumn
195,1997-10-14,2.84,Oct,Autumn
196,1997-10-15,2.84,Oct,Autumn
197,1997-10-16,2.94,Oct,Autumn
198,1997-10-17,2.97,Oct,Autumn
199,1997-10-20,3.05,Oct,Autumn
200,1997-10-21,3.13,Oct,Autumn
201,1997-10-22,3.24,Oct,Autumn
202,1997-10-23,3.34,Oct,Autumn
203,1997-10-24,3.29,Oct,Autumn
204,1997-10-27,3.46,Oct,Autumn
205,1997-10-28,3.61,Oct,Autumn
206,1997-10-29,3.45,Oct,Autumn
207,1997-10-30,3.34,Oct,Autumn
208,1997-10-31,3.22,Oct,Autumn
209,1997-11-03,3.23,Nov,Autumn
210,1997-11-04,3.15,Nov,Autumn
211,1997-11-05,3.18,Nov,Autumn
212,1997-11-06,3.2,Nov,Autumn
213,1997-11-07,3.05,Nov,Autumn
214,1997-11-10,3.2,Nov,Autumn
215,1997-11-11,3.26,Nov,Autumn
216,1997-11-12,3.28,Nov,Autumn
217,1997-11-13,3.27,Nov,Autumn
218,1997-11-14,3.25,Nov,Autumn
219,1997-11-17,3.1,Nov,Autumn
220,1997-11-18,3.0,Nov,Autumn
221,1997-11-19,2.97,Nov,Autumn
222,1997-11-20,2.77,Nov,Autumn
223,1997-11-21,2.59,Nov,Autumn
224,1997-11-24,2.63,Nov,Autumn
225,1997-11-25,2.51,Nov,Autumn
226,1997-11-26,2.5,Nov,Autumn
227,1997-12-01,2.52,Dec,Winter
228,1997-12-02,2.61,Dec,Winter
229,1997-12-03,2.53,Dec,Winter
230,1997-12-04,2.48,Dec,Winter
231,1997-12-05,2.42,Dec,Winter
232,1997-12-08,2.3,Dec,Winter
233,1997-12-09,2.35,Dec,Winter
234,1997-12-10,2.45,Dec,Winter
235,1997-12-11,2.3,Dec,Winter
236,1997-12-12,2.3,Dec,Winter
237,1997-12-15,2.25,Dec,Winter
238,1997-12-16,2.29,Dec,Winter
239,1997-12-17,2.38,Dec,Winter
240,1997-12-18,2.37,Dec,Winter
241,1997-12-19,2.39,Dec,Winter
242,1997-12-22,2.36,Dec,Winter
243,1997-12-23,2.24,Dec,Winter
244,1997-12-24,2.06,Dec,Winter
245,1997-12-26,2.18,Dec,Winter
246,1997-12-29,2.33,Dec,Winter
247,1997-12-30,2.27,Dec,Winter
248,1997-12-31,2.27,Dec,Winter
249,1998-01-02,2.16,Jan,Winter
250,1998-01-05,2.05,Jan,Winter
251,1998-01-06,2.16,Jan,Winter
252,1998-01-07,2.13,Jan,Winter
253,1998-01-08,2.11,Jan,Winter
254,1998-01-09,2.09,Jan,Winter
255,1998-01-12,2.01,Jan,Winter
256,1998-01-13,2.03,Jan,Winter
257,1998-01-14,2.05,Jan,Winter
258,1998-01-15,2.07,Jan,Winter
259,1998-01-16,2.11,Jan,Winter
260,1998-01-20,2.12,Jan,Winter
261,1998-01-21,2.09,Jan,Winter
262,1998-01-22,2.1,Jan,Winter
263,1998-01-23,2.14,Jan,Winter
264,1998-01-26,2.09,Jan,Winter
265,1998-01-27,2.06,Jan,Winter
266,1998-01-28,2.09,Jan,Winter
267,1998-01-29,2.07,Jan,Winter
268,1998-01-30,2.09,Jan,Winter
269,1998-02-02,2.23,Feb,Winter
270,1998-02-03,2.27,Feb,Winter
271,1998-02-04,2.23,Feb,Winter
272,1998-02-05,2.31,Feb,Winter
273,1998-02-06,2.35,Feb,Winter
274,1998-02-09,2.25,Feb,Winter
275,1998-02-10,2.18,Feb,Winter
276,1998-02-11,2.21,Feb,Winter
277,1998-02-12,2.2,Feb,Winter
278,1998-02-13,2.22,Feb,Winter
279,1998-02-17,2.18,Feb,Winter
280,1998-02-18,2.19,Feb,Winter
281,1998-02-19,2.22,Feb,Winter
282,1998-02-20,2.2,Feb,Winter
283,1998-02-23,2.2,Feb,Winter
284,1998-02-24,2.19,Feb,Winter
285,1998-02-25,2.21,Feb,Winter
286,1998-02-26,2.28,Feb,Winter
287,1998-02-27,2.23,Feb,Winter
288,1998-03-02,2.26,Mar,Spring
289,1998-03-03,2.24,Mar,Spring
290,1998-03-04,2.19,Mar,Spring
291,1998-03-05,2.12,Mar,Spring
292,1998-03-06,2.1,Mar,Spring
293,1998-03-09,2.17,Mar,Spring
294,1998-03-10,2.25,Mar,Spring
295,1998-03-11,2.25,Mar,Spring
296,1998-03-12,2.23,Mar,Spring
297,1998-03-13,2.21,Mar,Spring
298,1998-03-16,2.2,Mar,Spring
299,1998-03-17,2.2,Mar,Spring
300,1998-03-18,2.21,Mar,Spring
301,1998-03-19,2.25,Mar,Spring
302,1998-03-20,2.28,Mar,Spring
303,1998-03-23,2.33,Mar,Spring
304,1998-03-24,2.29,Mar,Spring
305,1998-03-25,2.33,Mar,Spring
306,1998-03-26,2.29,Mar,Spring
307,1998-03-27,2.26,Mar,Spring
308,1998-03-30,2.32,Mar,Spring
309,1998-03-31,2.34,Mar,Spring
310,1998-04-01,2.45,Apr,Spring
311,1998-04-02,2.43,Apr,Spring
312,1998-04-03,2.51,Apr,Spring
313,1998-04-06,2.51,Apr,Spring
314,1998-04-07,2.51,Apr,Spring
315,1998-04-08,2.65,Apr,Spring
316,1998-04-09,2.61,Apr,Spring
317,1998-04-13,2.52,Apr,Spring
318,1998-04-14,2.42,Apr,Spring
319,1998-04-15,2.48,Apr,Spring
320,1998-04-16,2.48,Apr,Spring
321,1998-04-17,2.4,Apr,Spring
322,1998-04-20,2.4,Apr,Spring
323,1998-04-21,2.46,Apr,Spring
324,1998-04-22,2.46,Apr,Spring
325,1998-04-23,2.35,Apr,Spring
326,1998-04-24,2.31,Apr,Spring
327,1998-04-27,2.29,Apr,Spring
328,1998-04-28,2.27,Apr,Spring
329,1998-04-29,2.29,Apr,Spring
330,1998-04-30,2.18,Apr,Spring
331,1998-05-01,2.11,May,Spring
332,1998-05-04,2.1,May,Spring
333,1998-05-05,2.19,May,Spring
334,1998-05-06,2.12,May,Spring
335,1998-05-07,2.16,May,Spring
336,1998-05-08,2.11,May,Spring
337,1998-05-11,2.19,May,Spring
338,1998-05-12,2.23,May,Spring
339,1998-05-13,2.24,May,Spring
340,1998-05-14,2.18,May,Spring
341,1998-05-15,2.18,May,Spring
342,1998-05-18,2.19,May,Spring
343,1998-05-19,2.17,May,Spring
344,1998-05-20,2.18,May,Spring
345,1998-05-21,2.11,May,Spring
346,1998-05-22,2.02,May,Spring
347,1998-05-26,2.1,May,Spring
348,1998-05-27,2.1,May,Spring
349,1998-05-28,2.04,May,Spring
350,1998-05-29,2.1,May,Spring
351,1998-06-01,2.1,June,Summer
352,1998-06-02,2.2,June,Summer
353,1998-06-03,2.13,June,Summer
354,1998-06-04,2.04,June,Summer
355,1998-06-05,2.01,June,Summer
356,1998-06-08,2.0,June,Summer
357,1998-06-09,2.01,June,Summer
358,1998-06-10,1.98,June,Summer
359,1998-06-11,1.99,June,Summer
360,1998-06-12,2.01,June,Summer
361,1998-06-15,2.08,June,Summer
362,1998-06-16,2.1,June,Summer
363,1998-06-17,2.05,June,Summer
364,1998-06-18,2.14,June,Summer
365,1998-06-19,2.2,June,Summer
366,1998-06-22,2.35,June,Summer
367,1998-06-23,2.35,June,Summer
368,1998-06-24,2.4,June,Summer
369,1998-06-25,2.39,June,Summer
370,1998-06-26,2.4,June,Summer
371,1998-06-29,2.36,June,Summer
372,1998-06-30,2.39,June,Summer
373,1998-07-01,2.46,July,Summer
374,1998-07-02,2.36,July,Summer
375,1998-07-06,2.38,July,Summer
376,1998-07-07,2.35,July,Summer
377,1998-07-08,2.39,July,Summer
378,1998-07-09,2.38,July,Summer
379,1998-07-10,2.32,July,Summer
380,1998-07-13,2.3,July,Summer
381,1998-07-14,2.23,July,Summer
382,1998-07-15,2.21,July,Summer
383,1998-07-16,2.15,July,Summer
384,1998-07-17,2.15,July,Summer
385,1998-07-20,2.18,July,Summer
386,1998-07-21,2.09,July,Summer
387,1998-07-22,2.0,July,Summer
388,1998-07-23,2.0,July,Summer
389,1998-07-24,1.97,July,Summer
390,1998-07-27,2.0,July,Summer
391,1998-07-28,1.97,July,Summer
392,1998-07-29,1.99,July,Summer
393,1998-07-30,1.95,July,Summer
394,1998-07-31,1.85,July,Summer
395,1998-08-03,1.84,Aug,Summer
396,1998-08-04,1.9,Aug,Summer
397,1998-08-05,1.91,Aug,Summer
398,1998-08-06,1.85,Aug,Summer
399,1998-08-07,1.82,Aug,Summer
400,1998-08-10,1.87,Aug,Summer
401,1998-08-11,1.87,Aug,Summer
402,1998-08-12,1.85,Aug,Summer
403,1998-08-13,1.83,Aug,Summer
404,1998-08-14,1.83,Aug,Summer
405,1998-08-17,1.93,Aug,Summer
406,1998-08-18,1.94,Aug,Summer
407,1998-08-19,1.96,Aug,Summer
408,1998-08-20,1.9,Aug,Summer
409,1998-08-21,1.93,Aug,Summer
410,1998-08-24,1.9,Aug,Summer
411,1998-08-25,1.89,Aug,Summer
412,1998-08-26,1.83,Aug,Summer
413,1998-08-27,1.76,Aug,Summer
414,1998-08-28,1.66,Aug,Summer
415,1998-08-31,1.61,Aug,Summer
416,1998-09-01,1.84,Sep,Autumn
417,1998-09-02,1.72,Sep,Autumn
418,1998-09-03,1.71,Sep,Autumn
419,1998-09-04,1.71,Sep,Autumn
420,1998-09-08,1.81,Sep,Autumn
421,1998-09-09,1.78,Sep,Autumn
422,1998-09-10,1.88,Sep,Autumn
423,1998-09-11,1.86,Sep,Autumn
424,1998-09-14,1.86,Sep,Autumn
425,1998-09-15,1.94,Sep,Autumn
426,1998-09-16,2.15,Sep,Autumn
427,1998-09-17,2.12,Sep,Autumn
428,1998-09-18,2.27,Sep,Autumn
429,1998-09-21,2.18,Sep,Autumn
430,1998-09-22,2.29,Sep,Autumn
431,1998-09-23,2.19,Sep,Autumn
432,1998-09-24,2.17,Sep,Autumn
433,1998-09-25,2.38,Sep,Autumn
434,1998-09-28,2.23,Sep,Autumn
435,1998-09-29,2.06,Sep,Autumn
436,1998-09-30,2.22,Sep,Autumn
437,1998-10-01,2.33,Oct,Autumn
438,1998-10-02,2.14,Oct,Autumn
439,1998-10-05,2.09,Oct,Autumn
440,1998-10-06,2.01,Oct,Autumn
441,1998-10-07,2.05,Oct,Autumn
442,1998-10-08,2.02,Oct,Autumn
443,1998-10-09,1.8,Oct,Autumn
444,1998-10-12,1.75,Oct,Autumn
445,1998-10-13,1.7,Oct,Autumn
446,1998-10-14,1.8,Oct,Autumn
447,1998-10-15,1.75,Oct,Autumn
448,1998-10-16,1.64,Oct,Autumn
449,1998-10-19,1.74,Oct,Autumn
450,1998-10-20,1.95,Oct,Autumn
451,1998-10-21,2.04,Oct,Autumn
452,1998-10-22,1.95,Oct,Autumn
453,1998-10-23,1.84,Oct,Autumn
454,1998-10-26,1.92,Oct,Autumn
455,1998-10-27,1.85,Oct,Autumn
456,1998-10-28,1.7,Oct,Autumn
457,1998-10-29,2.0,Oct,Autumn
458,1998-10-30,2.0,Oct,Autumn
459,1998-11-02,1.84,Nov,Autumn
460,1998-11-03,2.1,Nov,Autumn
461,1998-11-04,2.11,Nov,Autumn
462,1998-11-05,2.26,Nov,Autumn
463,1998-11-06,2.25,Nov,Autumn
464,1998-11-09,2.28,Nov,Autumn
465,1998-11-10,2.3,Nov,Autumn
466,1998-11-11,2.33,Nov,Autumn
467,1998-11-12,2.21,Nov,Autumn
468,1998-11-13,2.21,Nov,Autumn
469,1998-11-16,2.19,Nov,Autumn
470,1998-11-17,2.12,Nov,Autumn
471,1998-11-18,2.1,Nov,Autumn
472,1998-11-19,2.1,Nov,Autumn
473,1998-11-20,2.07,Nov,Autumn
474,1998-11-23,2.02,Nov,Autumn
475,1998-11-24,2.08,Nov,Autumn
476,1998-11-25,2.13,Nov,Autumn
477,1998-11-30,1.63,Nov,Autumn
478,1998-12-01,1.41,Dec,Winter
479,1998-12-02,1.4,Dec,Winter
480,1998-12-03,1.21,Dec,Winter
481,1998-12-04,1.05,Dec,Winter
482,1998-12-07,1.44,Dec,Winter
483,1998-12-08,1.79,Dec,Winter
484,1998-12-09,1.64,Dec,Winter
485,1998-12-10,1.59,Dec,Winter
486,1998-12-11,1.55,Dec,Winter
487,1998-12-14,1.8,Dec,Winter
488,1998-12-15,1.86,Dec,Winter
489,1998-12-16,1.95,Dec,Winter
490,1998-12-17,2.02,Dec,Winter
491,1998-12-18,2.02,Dec,Winter
492,1998-12-21,2.05,Dec,Winter
493,1998-12-22,1.96,Dec,Winter
494,1998-12-23,1.88,Dec,Winter
495,1998-12-24,1.89,Dec,Winter
496,1998-12-28,1.79,Dec,Winter
497,1998-12-29,1.82,Dec,Winter
498,1998-12-30,1.81,Dec,Winter
499,1998-12-31,1.95,Dec,Winter
500,1999-01-04,2.1,Jan,Winter
501,1999-01-05,2.05,Jan,Winter
502,1999-01-06,2.04,Jan,Winter
503,1999-01-07,1.91,Jan,Winter
504,1999-01-08,1.9,Jan,Winter
505,1999-01-11,1.83,Jan,Winter
506,1999-01-12,1.82,Jan,Winter
507,1999-01-13,1.87,Jan,Winter
508,1999-01-14,1.77,Jan,Winter
509,1999-01-15,1.78,Jan,Winter
510,1999-01-19,1.77,Jan,Winter
511,1999-01-20,1.81,Jan,Winter
512,1999-01-21,1.85,Jan,Winter
513,1999-01-22,1.82,Jan,Winter
514,1999-01-25,1.76,Jan,Winter
515,1999-01-26,1.73,Jan,Winter
516,1999-01-27,1.75,Jan,Winter
517,1999-01-28,1.75,Jan,Winter
518,1999-01-29,1.83,Jan,Winter
519,1999-02-01,1.75,Feb,Winter
520,1999-02-02,1.78,Feb,Winter
521,1999-02-03,1.8,Feb,Winter
522,1999-02-04,1.79,Feb,Winter
523,1999-02-05,1.81,Feb,Winter
524,1999-02-08,1.81,Feb,Winter
525,1999-02-09,1.82,Feb,Winter
526,1999-02-10,1.8,Feb,Winter
527,1999-02-11,1.78,Feb,Winter
528,1999-02-12,1.82,Feb,Winter
529,1999-02-16,1.79,Feb,Winter
530,1999-02-17,1.79,Feb,Winter
531,1999-02-18,1.8,Feb,Winter
532,1999-02-19,1.79,Feb,Winter
533,1999-02-22,1.77,Feb,Winter
534,1999-02-23,1.75,Feb,Winter
535,1999-02-24,1.73,Feb,Winter
536,1999-02-25,1.64,Feb,Winter
537,1999-02-26,1.63,Feb,Winter
538,1999-03-01,1.65,Mar,Spring
539,1999-03-02,1.67,Mar,Spring
540,1999-03-03,1.68,Mar,Spring
541,1999-03-04,1.72,Mar,Spring
542,1999-03-05,1.74,Mar,Spring
543,1999-03-08,1.87,Mar,Spring
544,1999-03-09,1.86,Mar,Spring
545,1999-03-10,1.94,Mar,Spring
546,1999-03-11,1.87,Mar,Spring
547,1999-03-12,1.81,Mar,Spring
548,1999-03-15,1.75,Mar,Spring
549,1999-03-16,1.75,Mar,Spring
550,1999-03-17,1.75,Mar,Spring
551,1999-03-18,1.75,Mar,Spring
552,1999-03-19,1.73,Mar,Spring
553,1999-03-22,1.74,Mar,Spring
554,1999-03-23,1.8,Mar,Spring
555,1999-03-24,1.79,Mar,Spring
556,1999-03-25,1.8,Mar,Spring
557,1999-03-26,1.83,Mar,Spring
558,1999-03-29,1.8,Mar,Spring
559,1999-03-30,1.89,Mar,Spring
560,1999-03-31,2.02,Mar,Spring
561,1999-04-01,1.95,Apr,Spring
562,1999-04-05,2.03,Apr,Spring
563,1999-04-06,1.98,Apr,Spring
564,1999-04-07,2.03,Apr,Spring
565,1999-04-08,2.07,Apr,Spring
566,1999-04-09,2.1,Apr,Spring
567,1999-04-12,2.06,Apr,Spring
568,1999-04-13,2.14,Apr,Spring
569,1999-04-14,2.11,Apr,Spring
570,1999-04-15,2.14,Apr,Spring
571,1999-04-16,2.14,Apr,Spring
572,1999-04-19,2.1,Apr,Spring
573,1999-04-20,2.18,Apr,Spring
574,1999-04-21,2.17,Apr,Spring
575,1999-04-22,2.24,Apr,Spring
576,1999-04-23,2.23,Apr,Spring
577,1999-04-26,2.23,Apr,Spring
578,1999-04-27,2.32,Apr,Spring
579,1999-04-28,2.31,Apr,Spring
580,1999-04-29,2.37,Apr,Spring
581,1999-04-30,2.25,Apr,Spring
582,1999-05-03,2.23,May,Spring
583,1999-05-04,2.32,May,Spring
584,1999-05-05,2.36,May,Spring
585,1999-05-06,2.32,May,Spring
586,1999-05-07,2.25,May,Spring
587,1999-05-10,2.25,May,Spring
588,1999-05-11,2.29,May,Spring
589,1999-05-12,2.19,May,Spring
590,1999-05-13,2.21,May,Spring
591,1999-05-14,2.28,May,Spring
592,1999-05-17,2.31,May,Spring
593,1999-05-18,2.3,May,Spring
594,1999-05-19,2.27,May,Spring
595,1999-05-20,2.26,May,Spring
596,1999-05-21,2.21,May,Spring
597,1999-05-24,2.19,May,Spring
598,1999-05-25,2.18,May,Spring
599,1999-05-26,2.22,May,Spring
600,1999-05-27,2.27,May,Spring
601,1999-05-28,2.29,May,Spring
602,1999-06-01,2.34,June,Summer
603,1999-06-02,2.36,June,Summer
604,1999-06-03,2.35,June,Summer
605,1999-06-04,2.31,June,Summer
606,1999-06-07,2.41,June,Summer
607,1999-06-08,2.38,June,Summer
608,1999-06-09,2.39,June,Summer
609,1999-06-10,2.37,June,Summer
610,1999-06-11,2.3,June,Summer
611,1999-06-14,2.29,June,Summer
612,1999-06-15,2.28,June,Summer
613,1999-06-16,2.28,June,Summer
614,1999-06-17,2.24,June,Summer
615,1999-06-18,2.24,June,Summer
616,1999-06-21,2.22,June,Summer
617,1999-06-22,2.23,June,Summer
618,1999-06-23,2.25,June,Summer
619,1999-06-24,2.26,June,Summer
620,1999-06-25,2.27,June,Summer
621,1999-06-28,2.25,June,Summer
622,1999-06-29,2.33,June,Summer
623,1999-06-30,2.34,June,Summer
624,1999-07-01,2.29,July,Summer
625,1999-07-02,2.26,July,Summer
626,1999-07-06,2.29,July,Summer
627,1999-07-07,2.2,July,Summer
628,1999-07-08,2.19,July,Summer
629,1999-07-09,2.17,July,Summer
630,1999-07-12,2.12,July,Summer
631,1999-07-13,2.14,July,Summer
632,1999-07-14,2.16,July,Summer
633,1999-07-15,2.12,July,Summer
634,1999-07-16,2.18,July,Summer
635,1999-07-19,2.2,July,Summer
636,1999-07-20,2.24,July,Summer
637,1999-07-21,2.25,July,Summer
638,1999-07-22,2.32,July,Summer
639,1999-07-23,2.42,July,Summer
640,1999-07-26,2.55,July,Summer
641,1999-07-27,2.55,July,Summer
642,1999-07-28,2.58,July,Summer
643,1999-07-29,2.67,July,Summer
644,1999-07-30,2.55,July,Summer
645,1999-08-02,2.51,Aug,Summer
646,1999-08-03,2.61,Aug,Summer
647,1999-08-04,2.64,Aug,Summer
648,1999-08-05,2.69,Aug,Summer
649,1999-08-06,2.69,Aug,Summer
650,1999-08-09,2.73,Aug,Summer
651,1999-08-10,2.77,Aug,Summer
652,1999-08-11,2.79,Aug,Summer
653,1999-08-12,2.73,Aug,Summer
654,1999-08-13,2.71,Aug,Summer
655,1999-08-16,2.73,Aug,Summer
656,1999-08-17,2.7,Aug,Summer
657,1999-08-18,2.75,Aug,Summer
658,1999-08-19,2.87,Aug,Summer
659,1999-08-20,2.97,Aug,Summer
660,1999-08-23,2.95,Aug,Summer
661,1999-08-24,3.01,Aug,Summer
662,1999-08-25,3.1,Aug,Summer
663,1999-08-26,2.97,Aug,Summer
664,1999-08-27,2.87,Aug,Summer
665,1999-08-30,2.85,Aug,Summer
666,1999-08-31,2.84,Aug,Summer
667,1999-09-01,2.71,Sep,Autumn
668,1999-09-02,2.56,Sep,Autumn
669,1999-09-03,2.47,Sep,Autumn
670,1999-09-07,2.56,Sep,Autumn
671,1999-09-08,2.66,Sep,Autumn
672,1999-09-09,2.75,Sep,Autumn
673,1999-09-10,2.84,Sep,Autumn
674,1999-09-13,2.8,Sep,Autumn
675,1999-09-14,2.66,Sep,Autumn
676,1999-09-15,2.52,Sep,Autumn
